Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,State and Province,County,Duration,Native Status,Invasive,Berry/Nut/Seed Product,Palatable Human,Protein Potential
LASI,,Lagenaria siceraria,bottle gourd,"USA+(PR, VI), USA(AL, AR, AZ, FL, GA, IL, KY, LA, MA, MO, MS, NC, NY, PA, SC, TX, VA)",,Annual,L48(I)PR(I)VI(I),,,,
LAAM,,Lamium amplexicaule,henbit deadnettle,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, QC, SK), DEN(GL), FRA(SB), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Chicot, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Desha, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Jackson, Jefferson, Lafayette, Lawrence, Lee, Lincoln, Logan, Madison, Marion, Miller, Mississippi, Monroe, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Woodruff, Yell)","Annual, Biennial",L48(I)HI(I)CAN(I)GL(I)SPM(W),"KY, N'EAST, NE&GP, SWSS, WSWS",,,
LAPU2,,Lamium purpureum,purple deadnettle,"CAN(BC, NB, NF, NS, ON, PE, QC), DEN(GL), FRA(SB), USA(AK, AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Craighead, Crawford, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hot Spring, Howard, Jefferson, Lafayette, Lincoln, Madison, Marion, Monroe, Nevada, Newton, Perry, Poinsett, Polk, Pope, Prairie, Pulaski, Scott, Sebastian, St. Francis, Union, Washington, White, Woodruff)",Annual,L48(I)AK(I)CAN(I)GL(I)SPM(I),WSWS,,,
LAPUP,,Lamium purpureum var. purpureum,purple deadnettle,"CAN(BC, NB, NF, NS, ON, PE, QC), DEN(GL), FRA(SB), USA(AK, AL, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Craighead, Crawford, Drew, Faulkner, Franklin, Fulton, Garland, Greene, Hot Spring, Howard, Jefferson, Lafayette, Lincoln, Madison, Marion, Monroe, Nevada, Newton, Perry, Poinsett, Polk, Pope, Prairie, Pulaski, Scott, Sebastian, St. Francis, Union, Washington, White, Woodruff)",Annual,L48(I)AK(I)CAN(I)GL(I)SPM(I),,,,
LAPU12,,Landoltia punctata,dotted duckmeat,"USA+(PR), USA(AL, AR, AZ, CA, DC, DE, FL, GA, HI, IL, KY, LA, MA, MD, MO, MS, NC, OK, OR, PA, SC, TN, TX, VA)","AR(Arkansas, Ashley, Clark, Desha, Jefferson, Lincoln, Monroe, Pulaski)",Perennial,L48(N)HI(N)PR(N),,,,
LACA3,,Laportea canadensis,Canadian woodnettle,"CAN(MB, NB, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV)","AR(Ashley, Benton, Carroll, Crawford, Crittenden, Desha, Faulkner, Independence, Lawrence, Lee, Madison, Mississippi, Montgomery, Newton, Perry, Pike, Poinsett, Polk, Pulaski, Scott, Searcy, Sharp, St. Francis, Stone, Washington, White)",Perennial,L48(N)CAN(N)SPM(N),,,,
LAOC3,,Lappula occidentalis,flatspine stickseed,"CAN(AB, BC, MB, NT, SK, YT), USA(AK, AR, AZ, CA, CO, CT, IA, ID, IL, KS, MA, ME, MN, MO, MT, ND, NE, NM, NV, NY, OK, OR, PA, SC, SD, TX, UT, WA, WI, WY)",AR(Jefferson),"Annual, Biennial",L48(N)AK(N)CAN(N),"NE&GP, WSWS",,,
LAOCO,,Lappula occidentalis var. occidentalis,flatspine stickseed,"CAN(AB, BC, MB, NT, SK, YT), USA(AK, AR, AZ, CA, CO, CT, IA, ID, IL, KS, ME, MN, MO, MT, ND, NE, NM, NV, NY, OK, OR, PA, SC, SD, TX, UT, WA, WI, WY)",AR(Jefferson),"Annual, Biennial",L48(N)AK(N)CAN(N),,,,
LASQ,,Lappula squarrosa,European stickseed,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AR, AZ, CA, CO, CT, DC, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",,"Annual, Biennial",L48(I)AK(I)CAN(I),,,,
LACO3,,Lapsana communis,common nipplewort,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), DEN(GL), USA(AK, AR, AZ, CA, CO, CT, DC, GA, HI, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NJ, NY, OH, OK, OR, PA, RI, TN, TX, UT, VA, VT, WA, WI, WV)","AR(Benton, Garland, Madison, Montgomery)",Annual,L48(I)AK(I)HI(I)CAN(I)GL(I),WSWS,,,
LAAP2,,Lathyrus aphaca,yellow pea,"USA(AL, AR, CA, KY, LA, MA, MD, MS, NE, OR, PA, TN, TX, WA)","AR(Miller, Pulaski)",Annual,L48(I),,,,
LAHI2,,Lathyrus hirsutus,Caley pea,"USA(AL, AR, CA, FL, GA, IL, KY, LA, MD, MI, MO, MS, NC, NM, OK, OR, SC, TN, TX, VA)","AR(Arkansas, Ashley, Benton, Bradley, Clark, Columbia, Crittenden, Cross, Desha, Drew, Faulkner, Franklin, Hempstead, Independence, Jefferson, Lawrence, Lee, Little River, Madison, Miller, Mississippi, Newton, Phillips, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, St. Francis, Washington)",Annual,L48(I),,No,No,High
LALA4,,Lathyrus latifolius,perennial pea,"CAN(BC, NS, ON, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Arkansas, Baxter, Benton, Carroll, Clay, Cleburne, Craighead, Crawford, Desha, Drew, Greene, Howard, Jefferson, Lawrence, Logan, Madison, Newton, Ouachita, Polk, Pulaski, Randolph, Saline, Sharp, Stone, Washington, White, Yell)",Perennial,L48(I)HI(I)CAN(I),"SWSS, WSWS",No,No,High
LAPU3,,Lathyrus pusillus,tiny pea,"USA(AL, AR, FL, KS, LA, MO, MS, NC, OK, OR, TX, VA)","AR(Crawford, Cross, Faulkner, Greene, Lawrence, Lincoln, Logan, Nevada, Poinsett, Pulaski, Sebastian, Sevier, St. Francis)",Annual,L48(N),,,,
LASY,,Lathyrus sylvestris,flat pea,"CAN(BC, NB, NS, ON, PE, QC), USA(AR, CO, CT, GA, ID, KY, MA, MI, MN, MS, MT, NC, NH, NY, OR, SC, TN, UT, VA, VT, WA, WI, WV, WY)",,Perennial,L48(I)CAN(I),,No,No,High
LAVE,,Lathyrus venosus,veiny pea,"CAN(AB, MB, ON, QC, SK), USA(AK, AL, AR, DC, GA, IA, IL, IN, KY, LA, MD, MI, MN, MO, NC, ND, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV)","AR(Benton, Bradley, Clark, Dallas, Franklin, Garland, Hot Spring, Howard, Johnson, Logan, Miller, Montgomery, Perry, Polk, Pulaski, Searcy, Sevier)",Perennial,L48(N)AK(N)CAN(N),,,,
LEUN,,Leavenworthia uniflora,Michaux's gladecress,"USA(AL, AR, GA, IN, KY, MO, OH, TN, VA)","AR(Baxter, Carroll, Izard, Marion, Randolph, Sharp)",Annual,L48(N),,,,
LEMU3,,Lechea mucronata,hairy pinweed,"CAN(ON), USA(AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","AR(Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Dallas, Drew, Fulton, Garland, Grant, Hempstead, Howard, Independence, Izard, Jefferson, Johnson, Lawrence, Little River, Logan, Marion, Nevada, Ouachita, Phillips, Pike, Polk, Pope, Prairie, Pulaski, Saline, Sevier, Sharp, Stone, Union, Washington, Yell)",Perennial,L48(N)CAN(N),,,,
LETE,,Lechea tenuifolia,narrowleaf pinweed,"USA(AL, AR, CT, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Boone, Bradley, Calhoun, Clark, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Dallas, Drew, Faulkner, Franklin, Garland, Grant, Greene, Hempstead, Hot Spring, Howard, Independence, Izard, Jefferson, Lee, Lincoln, Little River, Logan, Marion, Miller, Montgomery, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Washington, White, Yell)",Perennial,L48(N),,,,
LEAE2,,Lemna aequinoctialis,lesser duckweed,"USA+(PR, VI), USA(AL, AR, AZ, CA, FL, GA, HI, IA, IL, KS, KY, LA, MO, MS, NC, NE, NM, OK, SC, TN, TX, VA, WI)","AR(Clay, Cleveland, Faulkner, Franklin, Polk, Washington)",Perennial,L48(N)HI(N)PR(N)VI(N),,,,
LEMI3,,Lemna minor,common duckweed,"CAN(BC, MB, ON, QC, SK), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Ashley, Baxter, Carroll, Fulton)",Perennial,L48(N)AK(N)CAN(N),,No,No,
LEMI6,,Lemna minuta,least duckweed,"USA+(PR, VI), USA(AL, AR, AZ, CA, CO, FL, GA, IL, IN, KS, KY, LA, MA, MO, NE, NM, NV, OH, OK, OR, TN, TX, UT, WA, WV, WY)",,Perennial,L48(N)PR(N)VI(N),,,,
LEOB2,,Lemna obscura,little duckweed,"USA(AL, AR, AZ, DC, FL, GA, HI, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, UT, VA, WI, WV)","AR(Arkansas, Desha, Hempstead, Jefferson, Lincoln, Washington)",Perennial,L48(N)HI(I),,,,
LEPE,,Lemna perpusilla,minute duckweed,"CAN(QC), USA+(PR, VI), USA(AL, AR, AZ, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MN, MO, MS, NC, ND, NE, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Clay, Pulaski)",Perennial,L48(N)PR(N)VI(N)CAN(N),,,,
LETR,,Lemna trisulca,star duckweed,"CAN(AB, BC, MB, NB, NS, NT, NU, ON, PE, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WY)",,Perennial,L48(N)AK(N)CAN(N),,No,No,Medium
LEVA,,Lemna valdiviana,valdivia duckweed,"USA+(PR), USA(AL, AR, AZ, CA, CO, CT, DC, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WV, WY)","AR(Baxter, Greene, Hempstead, Jefferson, Lincoln, Pulaski)",Perennial,L48(N)PR(N),,No,No,Medium
LENE,,Leonotis nepetifolia,Christmas candlestick,"USA+(PR, VI), USA(AL, AR, FL, GA, HI, LA, MS, NC, SC, TN, TX)",,Annual,L48(I)HI(I)PR(I)VI(I),,,,
LECA2,,Leonurus cardiaca,common motherwort,"CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Benton, Independence, Madison, Newton, Stone, Washington)",Perennial,L48(I)CAN(I),NE&GP,,,
LECAC7,,Leonurus cardiaca ssp. cardiaca,common motherwort,"CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","AR(Benton, Independence, Madison, Newton, Stone, Washington)",Perennial,L48(I)CAN(I),,,,
LESI,,Leonurus sibiricus,honeyweed,"CAN(MB), USA+(PR, VI), USA(AR, DE, FL, HI, IA, IL, KY, LA, MN, MO, MS, NE, OH, OK, PA, PW, TX, VA, WV)","AR(Independence, Izard)","Biennial, Perennial, AN",L48(I)HI(I)PR(I)VI(I)CAN(W),,,,
LECA5,,Lepidium campestre,field pepperweed,"CAN(AB, BC, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY)","AR(Baxter, Boone, Franklin, Independence, Madison, Searcy, Sevier, Washington)","Annual, Biennial",L48(I)CAN(I)SPM(I),"KY, N'EAST",,,
LEOB,,Lepidium oblongum,veiny pepperweed,"USA(AR, AZ, CA, HI, KS, LA, MS, NE, NM, OK, OR, SC, TX)","AR(Hempstead, Lonoke, Miller)","Annual, Biennial",L48(N)HI(I),,,,
LEOBO,,Lepidium oblongum var. oblongum,veiny pepperweed,"USA(AR, AZ, CA, HI, KS, LA, MS, NE, NM, OK, OR, SC, TX)","AR(Hempstead, Lonoke, Miller)","Biennial, AN",L48(N)HI(I),,,,
LEPE2,,Lepidium perfoliatum,clasping pepperweed,"CAN(AB, BC, ON, QC, SK), USA(AK, AR, AZ, CA, CO, CT, GA, IA, ID, IL, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY)",,"Annual, Biennial",L48(I)AK(I)CAN(I),WSWS,,,
LEVI3,,Lepidium virginicum,Virginia pepperweed,"CAN(BC, NB, NF, NS, ON, PE, QC), USA+(PR, VI), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Chicot, Clark, Clay, Cleburne, Conway, Craighead, Crawford, Crittenden, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Grant, Greene, Hempstead, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lawrence, Lee, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Montgomery, Nevada, Newton, Ouachita, Perry, Phillips, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, St. Francis, Stone, Union, Washington, White, Woodruff)","Annual, Biennial, Perennial",L48(N)AK(I?)HI(I)PR(N)VI(I)CAN(NI),"N'EAST, SWSS",,,
LEVIM,,Lepidium virginicum var. medium,intermediate pepperweed,"USA(AR, AZ, CA, CO, FL, ID, LA, NM, OK, OR, TX, WA, WY)","AR(Baxter, Carroll, Clark, Conway, Grant, Izard, Montgomery)","Annual, Perennial, Biennial",L48(N),,,,
LEVIV2,,Lepidium virginicum var. virginicum,Virginia pepperweed,"CAN(NB, NF, NS, ON, PE, QC), USA+(PR, VI), USA(AK, AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Arkansas, Ashley, Benton, Bradley, Calhoun, Chicot, Clay, Cleburne, Craighead, Crawford, Crittenden, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Greene, Hempstead, Howard, Independence, Jackson, Jefferson, Johnson, Lawrence, Lee, Logan, Lonoke, Madison, Marion, Miller, Mississippi, Nevada, Newton, Ouachita, Perry, Phillips, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, St. Francis, Stone, Union, Washington, White, Woodruff)","Annual, Perennial, Biennial",L48(N)AK(I?)HI(I)PR(N)VI(I)CAN(I),,,,
LESP,,Lepuropetalon spathulatum,petiteplant,"USA(AL, AR, FL, GA, LA, MS, NC, OK, SC, TX)","AR(Ashley, Bradley, Cleveland, Drew, Faulkner, Hempstead, Little River, Miller, Nevada, Sevier, Union)","Perennial, AN",L48(N),,,,
LEAC,,Lespedeza ×acuticarpa,lespedeza,"USA(AR, DE, IL, KS, MA, MI, MO, OH, OK, PA, RI, TN, VA)",,Perennial,L48(N),,,,
LEBR2,,Lespedeza ×brittonii,lespedeza,"USA(AL, AR, GA, IL, IN, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, TX, VA)",,Perennial,L48(N),,,,
LEMA6,,Lespedeza ×manniana,lespedeza,"USA(AR, IL, KS, MI, MO, TX)",,Perennial,L48(N),,,,
LENE8,,Lespedeza ×neglecta,lespedeza,"USA(AL, AR, GA, KY, LA, MO, NC, NJ, NY, OK, SC, TN, TX, VA)",,Perennial,L48(N),,,,
LENU,,Lespedeza ×nuttallii,lespedeza,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WV)",,Perennial,L48(N)CAN(N),,,,
LESI2,,Lespedeza ×simulata,lespedeza,"USA(AR, CT, IA, IL, KS, MI, MO, NJ, NY, OK, PA, TN, VA, VT)",,Perennial,L48(N),,,,
LEBI2,,Lespedeza bicolor,shrub lespedeza,"CAN(ON), USA(AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, PA, SC, TN, TX, VA, WV)","AR(Franklin, Jefferson, Lee, Logan, Polk, Pope, Saline, St. Francis, Washington, Yell)",Perennial,L48(I)CAN(I),SEEPPC,No,No,Medium
LECA8,,Lespedeza capitata,roundhead lespedeza,"CAN(NB, ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","AR(Ashley, Benton, Bradley, Carroll, Franklin, Izard, Jefferson, Logan, Lonoke, Madison, Marion, Monroe, Prairie, Sebastian, St. Francis, Washington)",Perennial,L48(N)CAN(N),,No,No,Medium
LECU,,Lespedeza cuneata,sericea lespedeza,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)","AR(Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Clay, Cleburne, Cleveland, Columbia, Conway, Craighead, Crawford, Crittenden, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Howard, Independence, Izard, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Little River, Logan, Lonoke, Madison, Marion, Mississippi, Montgomery, Newton, Perry, Pike, Poinsett, Polk, Pope, Randolph, Scott, Searcy, Sebastian, Sevier, St. Francis, Stone, Union, Van Buren, Washington, White, Woodruff, Yell)",Perennial,L48(I)HI(I)CAN(I),"SEEPPC, STATE",,,
LEFR5,,Lespedeza frutescens,shrubby lespedeza,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)","AR(Benton, Carroll, Craighead, Crittenden, Drew, Faulkner, Garland, Grant, Hempstead, Hot Spring, Lawrence, Lee, Logan, Madison, Marion, Newton, Pike, Polk, Pulaski, Saline, Sebastian, Sharp, St. Francis, Stone, Union, Washington, Yell)",Perennial,L48(N)CAN(N),,,,
LEHI2,,Lespedeza hirta,hairy lespedeza,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)","AR(Ashley, Baxter, Benton, Bradley, Carroll, Clark, Clay, Cleburne, Columbia, Conway, Craighead, Crittenden, Cross, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hot Spring, Independence, Jefferson, Little River, Logan, Madison, Marion, Miller, Montgomery, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Pulaski, Saline, Scott, Searcy, Sebastian, Stone, Washington, Yell)",Perennial,L48(N)CAN(N),,No,No,Low
LEHIH2,,Lespedeza hirta ssp. hirta,hairy lespedeza,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)","AR(Ashley, Baxter, Benton, Bradley, Carroll, Clark, Clay, Cleburne, Columbia, Conway, Craighead, Crittenden, Cross, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hot Spring, Independence, Jefferson, Little River, Logan, Madison, Marion, Miller, Montgomery, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Pulaski, Saline, Scott, Searcy, Sebastian, Stone, Washington, Yell)",Perennial,L48(N)CAN(N),,,,
LEPR,,Lespedeza procumbens,trailing lespedeza,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Carroll, Cleburne, Columbia, Conway, Craighead, Crawford, Dallas, Drew, Faulkner, Garland, Greene, Hempstead, Hot Spring, Independence, Izard, Johnson, Lawrence, Logan, Madison, Marion, Montgomery, Nevada, Newton, Phillips, Pike, Poinsett, Polk, Pope, Pulaski, Saline, Sebastian, St. Francis, Stone, Washington, Yell)",Perennial,L48(N),,,,
LERE2,,Lespedeza repens,creeping lespedeza,"USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV)","AR(Arkansas, Ashley, Baxter, Benton, Bradley, Carroll, Clark, Cleburne, Columbia, Conway, Craighead, Crawford, Cross, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Hempstead, Hot Spring, Independence, Jefferson, Johnson, Lee, Lincoln, Little River, Lonoke, Madison, Marion, Miller, Montgomery, Newton, Ouachita, Perry, Phillips, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Saline, Scott, Searcy, Sebastian, Sevier, St. Francis, Stone, Washington, White, Yell)",Perennial,L48(N),,,,
LEST5,,Lespedeza stuevei,tall lespedeza,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OK, PA, RI, SC, TN, TX, VA, VT, WV)","AR(Ashley, Benton, Bradley, Carroll, Clark, Clay, Cleburne, Conway, Dallas, Faulkner, Garland, Greene, Hempstead, Howard, Jefferson, Johnson, Logan, Marion, Miller, Montgomery, Nevada, Ouachita, Pike, Pope, Saline, Scott, Sebastian, Sevier, Union, Washington, White)",Perennial,L48(N),,,,
LEVI6,,Lespedeza violacea,violet lespedeza,"CAN(ON), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","AR(Ashley, Baxter, Benton, Clark, Cleburne, Conway, Faulkner, Franklin, Garland, Hot Spring, Marion, Miller, Newton, Polk, Pope, Pulaski, Saline, Sebastian, Stone, Washington)",Perennial,L48(N)CAN(N),,,,
LEVI7,,Lespedeza virginica,slender lespedeza,"CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)","AR(Ashley, Baxter, Benton, Bradley, Calhoun, Carroll, Clark, Cleburne, Cleveland, Columbia, Conway, Craighead, Dallas, Drew, Faulkner, Franklin, Fulton, Garland, Grant, Greene, Howard, Independence, Jackson, Jefferson, Johnson, Lafayette, Lawrence, Lee, Lincoln, Logan, Lonoke, Madison, Marion, Miller, Montgomery, Nevada, Newton, Ouachita, Perry, Pike, Poinsett, Polk, Pope, Prairie, Pulaski, Randolph, Saline, Scott, Searcy, Sebastian, Sevier, Sharp, St. Francis, Stone, Union, Van Buren, Washington, Yell)",Perennial,L48(N)CAN(N),,,,
LEFI2,,Lesquerella filiformis,limestoneglade bladderpod,"USA(AR, MO)",,Perennial,L48(N),,,,
LEGR2,,Lesquerella gracilis,spreading bladderpod,"USA(AL, AR, IL, KS, LA, MO, MS, NE, OK, TN, TX)","AR(Clark, Howard, Little River)","Annual, Biennial",L48(N),,,,
LEGRG,,Lesquerella gracilis ssp. gracilis,spreading bladderpod,"USA(AL, AR, IL, LA, MO, MS, OK, TN, TX)","AR(Clark, Howard, Little River)","Annual, Biennial",L48(N),,,,
